userId,title,score
1,Boys  Les (1997),5.2429185
1,Santa with Muscles (1996),5.188044
1,Faust (1994),5.1451855
1,Angel Baby (1995),4.9448853
1,Close Shave  A (1995),4.9332767
1,Wallace & Gromit: The Best of Aardman Animation (1996),4.9175
1,Wrong Trousers  The (1993),4.9089613
1,Aiqing wansui (1994),4.8761344
1,Pather Panchali (1955),4.871785
1,Saint of Fort Washington  The (1993),4.8346534
2,Angel Baby (1995),5.2589087
2,Boys  Les (1997),4.9265437
2,Pather Panchali (1955),4.9027457
2,Anna (1996),4.7868514
2,Santa with Muscles (1996),4.721629
2,Some Mother's Son (1996),4.6866956
2,They Made Me a Criminal (1939),4.646717
2,Spanish Prisoner  The (1997),4.6424417
2,Butcher Boy  The (1998),4.6424417
2,Butcher Boy  The (1998),4.6424417
3,Love and Death on Long Island (1997),4.5351615
3,In the Line of Duty 2 (1987),4.466434
3,8 Heads in a Duffel Bag (1997),4.2946215
3,Boys  Les (1997),4.165404
3,Winter Guest  The (1997),4.1045423
3,Saint of Fort Washington  The (1993),4.1021447
3,Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.0778313
3,Brother Minister: The Assassination of Malcolm X (1994),3.8464143
3,Clerks (1994),3.838382
3,Bad Taste (1987),3.8107529
4,Stalker (1979),6.4269533
4,Slingshot  The (1993),6.3198037
4,Bitter Sugar (Azucar Amargo) (1996),6.1837626
4,Some Mother's Son (1996),6.0596447
4,American Dream (1990),6.052496
4,To Live (Huozhe) (1994),5.9352
4,Margaret's Museum (1995),5.9160643
4,Star Kid (1997),5.8215346
4,Spanish Prisoner  The (1997),5.7987347
4,Butcher Boy  The (1998),5.7987347
5,Santa with Muscles (1996),4.8116455
5,Faust (1994),4.756447
5,Little City (1998),4.603143
5,Wallace & Gromit: The Best of Aardman Animation (1996),4.556378
5,Mina Tannenbaum (1994),4.530726
5,Wrong Trousers  The (1993),4.502177
5,Nico Icon (1995),4.4326134
5,Maya Lin: A Strong Clear Vision (1994),4.4251847
5,Close Shave  A (1995),4.3936205
5,Boys  Les (1997),4.3646407
6,Angel Baby (1995),5.8261485
6,Boys  Les (1997),5.6716676
6,World of Apu  The (Apur Sansar) (1959),4.96366
6,Pather Panchali (1955),4.6576014
6,The Deadly Cure (1996),4.5962334
6,In the Bleak Midwinter (1995),4.486977
6,Anna (1996),4.3908415
6,Aiqing wansui (1994),4.3759303
6,Sunset Blvd. (1950),4.374563
6,When We Were Kings (1996),4.365232
7,Angel Baby (1995),5.641545
7,Boys  Les (1997),5.588483
7,Saint of Fort Washington  The (1993),5.271012
7,Pather Panchali (1955),5.202661
7,Santa with Muscles (1996),5.0794206
7,Schindler's List (1993),5.0050025
7,Anna (1996),5.004577
7,Shawshank Redemption  The (1994),4.976754
7,Spanish Prisoner  The (1997),4.965947
7,Butcher Boy  The (1998),4.965947
8,Boys  Les (1997),5.7980433
8,Angel Baby (1995),5.427055
8,Santa with Muscles (1996),5.15977
8,Saint of Fort Washington  The (1993),5.0680947
8,Faust (1994),4.98922
8,Pather Panchali (1955),4.8614154
8,Star Wars (1977),4.851214
8,Wrong Trousers  The (1993),4.766126
8,Close Shave  A (1995),4.7578554
8,They Made Me a Criminal (1939),4.7262297
9,8 Heads in a Duffel Bag (1997),5.4257255
9,Saint of Fort Washington  The (1993),5.414683
9,Boys  Les (1997),5.3533125
9,Angel Baby (1995),5.3259306
9,Pather Panchali (1955),5.249036
9,Golden Earrings (1947),5.211969
9,Spanish Prisoner  The (1997),5.110658
9,Butcher Boy  The (1998),5.110658
9,Butcher Boy  The (1998),5.110658
9,Brothers in Trouble (1995),5.110658
10,Angel Baby (1995),5.473832
10,Boys  Les (1997),5.4562507
10,Pather Panchali (1955),5.177573
10,Saint of Fort Washington  The (1993),5.139489
10,Anna (1996),4.9961715
10,Santa with Muscles (1996),4.9729304
10,Spanish Prisoner  The (1997),4.965638
10,Butcher Boy  The (1998),4.965638
10,Butcher Boy  The (1998),4.965638
10,Brothers in Trouble (1995),4.965638
11,Angel Baby (1995),4.518253
11,Pather Panchali (1955),4.4905667
11,N?nette et Boni (1996),4.4448924
11,Anna (1996),4.444728
11,Santa with Muscles (1996),4.4254317
11,Star Kid (1997),4.41563
11,Some Mother's Son (1996),4.4028163
11,Horseman on the Roof  The (Hussard sur le toit  Le) (1995),4.366144
11,Spanish Prisoner  The (1997),4.3427906
11,Butcher Boy  The (1998),4.3427906
12,Hurricane Streets (1998),5.461845
12,8 Heads in a Duffel Bag (1997),5.2442427
12,Golden Earrings (1947),5.186067
12,Pather Panchali (1955),5.073217
12,Saint of Fort Washington  The (1993),5.05731
12,Star Kid (1997),5.0538526
12,Some Mother's Son (1996),5.0533075
12,Anna (1996),5.0235023
12,Schindler's List (1993),5.022524
12,Shawshank Redemption  The (1994),4.9892936
13,Angel Baby (1995),5.113944
13,Close Shave  A (1995),4.863452
13,Great Day in Harlem  A (1994),4.8450875
13,Faust (1994),4.7569537
13,Santa with Muscles (1996),4.7470684
13,Boys  Les (1997),4.73615
13,Whole Wide World  The (1996),4.7281113
13,N?nette et Boni (1996),4.704119
13,Wrong Trousers  The (1993),4.6871357
13,Two or Three Things I Know About Her (1966),4.6702995
14,Santa with Muscles (1996),5.15822
14,Boys  Les (1997),5.1063476
14,Faust (1994),5.1023498
14,Close Shave  A (1995),4.953284
14,Wrong Trousers  The (1993),4.914868
14,Angel Baby (1995),4.91308
14,Wallace & Gromit: The Best of Aardman Animation (1996),4.898789
14,Pather Panchali (1955),4.8214097
14,Aiqing wansui (1994),4.80393
14,Two or Three Things I Know About Her (1966),4.7822304
15,N?nette et Boni (1996),4.9278846
15,Sum of Us  The (1994),4.470945
15,Whole Wide World  The (1996),4.394857
15,Hugo Pool (1997),4.193167
15,So Dear to My Heart (1949),4.1350613
15,Horseman on the Roof  The (Hussard sur le toit  Le) (1995),4.0530186
15,Boys of St. Vincent  The (1993),4.0481067
15,Crooklyn (1994),4.013768
15,Swept from the Sea (1997),3.9960177
15,Love! Valour! Compassion! (1997),3.9751334
16,Boys  Les (1997),6.2366977
16,Angel Baby (1995),5.7683096
16,Saint of Fort Washington  The (1993),5.682782
16,Santa with Muscles (1996),5.343355
16,Pather Panchali (1955),5.243317
16,Golden Earrings (1947),5.1938753
16,Star Wars (1977),5.1906166
16,Shawshank Redemption  The (1994),5.182058
16,Raiders of the Lost Ark (1981),5.1407857
16,Schindler's List (1993),5.1099463
17,Mina Tannenbaum (1994),4.4177403
17,Faust (1994),4.3043036
17,Little City (1998),4.3026857
17,Santa with Muscles (1996),4.301688
17,Kaspar Hauser (1993),4.227045
17,Aiqing wansui (1994),4.214912
17,Nico Icon (1995),4.199896
17,American Dream (1990),4.1961713
17,Boy's Life 2 (1997),4.185218
17,Wallace & Gromit: The Best of Aardman Animation (1996),4.175955
18,Angel Baby (1995),5.007226
18,Pather Panchali (1955),4.8980384
18,Some Mother's Son (1996),4.855036
18,Anna (1996),4.8182054
18,Spanish Prisoner  The (1997),4.6661434
18,Butcher Boy  The (1998),4.6661434
18,Butcher Boy  The (1998),4.6661434
18,Brothers in Trouble (1995),4.6661434
18,N?nette et Boni (1996),4.662562
18,Someone Else's America (1995),4.601256
19,Angel Baby (1995),5.4452806
19,Boys  Les (1997),5.215219
19,Pather Panchali (1955),4.801378
